date,id,referee,home_team,away_team,home_goals,away_goals,result,total_goals,goal_diff,home_gf_rolls_mean_5,home_pts_rolls_sum_5,away_gf_rolls_mean_5,away_pts_rolls_sum_5
2023-09-24 11:30:00,1048629,F. Lechner,Fortuna Dusseldorf,Hannover 96,1,1,draw,2,0,2.4,10.0,2.8,10.0
2023-09-24 11:30:00,1048631,F. Badstübner,Holstein Kiel,Hertha Berlin,2,3,away,5,-1,1.8,9.0,2.4,6.0
2023-09-29 16:30:00,1048639,F. Zwayer,Hamburger SV,Fortuna Dusseldorf,1,0,home,1,1,1.6,9.0,2.6,10.0
2023-09-29 16:30:00,1048640,T. Gerach,SC Paderborn 07,FC Schalke 04,3,1,home,4,2,1.4,7.0,1.2,4.0
2023-09-30 11:00:00,1048642,N. Winter,Hannover 96,SV Wehen,2,0,home,2,2,2.6,10.0,0.8,4.0
2023-09-30 11:00:00,1048643,D. Siebert,Hansa Rostock,Eintracht Braunschweig,1,0,home,1,1,1.0,3.0,0.8,5.0
2023-09-30 11:00:00,1048641,P. Alt,Karlsruher SC,Holstein Kiel,0,2,away,2,-2,1.4,4.0,1.8,6.0
2023-09-30 18:30:00,1048638,D. Aytekin,Hertha Berlin,FC St. Pauli,1,2,away,3,-1,3.0,9.0,1.8,9.0
2023-10-01 11:30:00,1048644,R. Braun,FC Nurnberg,FC Magdeburg,1,0,home,1,1,1.8,8.0,2.8,8.0
2023-10-01 11:30:00,1048645,T. Bauer,SV Elversberg,SpVgg Greuther Furth,1,1,draw,2,0,1.4,9.0,1.2,5.0
2023-10-01 11:30:00,1048646,D. Schlager,VfL Osnabruck,FC Kaiserslautern,2,2,draw,4,0,1.0,3.0,2.4,13.0
2023-10-06 16:30:00,1048651,M. Bacher,FC Kaiserslautern,Hannover 96,3,1,home,4,2,2.2,11.0,2.6,10.0
2023-10-06 16:30:00,1048648,R. Kampka,Fortuna Dusseldorf,VfL Osnabruck,1,1,draw,2,0,2.4,10.0,1.0,4.0
2023-10-07 11:00:00,1048652,F. Lechner,FC Magdeburg,Karlsruher SC,1,1,draw,2,0,2.0,5.0,1.4,4.0
2023-10-07 11:00:00,1048655,W. Haslberger,SV Wehen,Hamburger SV,1,1,draw,2,0,0.6,1.0,1.2,9.0
2023-10-07 11:00:00,1048653,A. Sather,SpVgg Greuther Furth,Hansa Rostock,1,0,home,1,1,1.4,5.0,1.0,6.0
2023-10-07 18:30:00,1048649,M. Jöllenbeck,FC St. Pauli,FC Nurnberg,5,1,home,6,4,2.2,11.0,1.4,8.0
2023-10-08 11:30:00,1048654,F. Badstübner,Eintracht Braunschweig,SC Paderborn 07,1,3,away,4,-2,0.6,2.0,1.6,7.0
2023-10-08 11:30:00,1048647,H. Osmers,FC Schalke 04,Hertha Berlin,1,2,away,3,-1,1.4,4.0,3.2,9.0
2023-10-08 11:30:00,1048650,T. Reichel,Holstein Kiel,SV Elversberg,1,1,draw,2,0,1.8,9.0,1.2,10.0
2023-10-20 16:30:00,1048660,A. Aarnink,Hannover 96,FC Magdeburg,2,1,home,3,1,2.8,10.0,2.2,5.0
2023-10-20 16:30:00,1048663,R. Hartmann,SV Elversberg,Eintracht Braunschweig,3,0,home,3,3,1.4,11.0,0.8,2.0
2023-10-21 11:00:00,1048656,R. Schröder,Hamburger SV,SpVgg Greuther Furth,2,0,home,2,2,1.2,7.0,1.6,8.0
2023-10-21 11:00:00,1048658,M. Petersen,SC Paderborn 07,FC St. Pauli,2,2,draw,4,0,2.0,10.0,3.2,13.0
2023-10-21 11:00:00,1048664,P. Schwengers,VfL Osnabruck,SV Wehen,0,2,away,2,-2,1.0,5.0,0.6,2.0
2023-10-21 18:30:00,1048657,B. Brand,Fortuna Dusseldorf,FC Kaiserslautern,4,3,home,7,1,1.6,8.0,2.4,11.0
2023-10-22 11:30:00,1048662,F. Exner,FC Nurnberg,Hertha Berlin,3,1,home,4,2,1.2,5.0,2.6,9.0
2023-10-22 11:30:00,1048661,R. Hempel,Hansa Rostock,Holstein Kiel,1,3,away,4,-2,0.6,3.0,1.6,7.0
2023-10-22 11:30:00,1048659,F. Heft,Karlsruher SC,FC Schalke 04,3,0,home,3,3,1.2,2.0,1.6,4.0
