date,id,referee,home_team_id,away_team_id,home_team,away_team,home_goals,away_goals,result,total_goals,goal_diff,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_insidebox,home_shots_outsidebox,home_fouls,home_corner_kicks,home_offsides,home_ball_possession,home_yellow_cards,home_red_cards,home_goalkeeper_saves,home_total_passes,home_passes_accurate,home_passes_%,home_expected_goals,home_goals_prevented,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_insidebox,away_shots_outsidebox,away_fouls,away_corner_kicks,away_offsides,away_ball_possession,away_yellow_cards,away_red_cards,away_goalkeeper_saves,away_total_passes,away_passes_accurate,away_passes_%,away_expected_goals,away_goals_prevented
2024-10-26 11:00:00,1226250,P. Alt,174,178,FC Schalke 04,SpVgg Greuther Fürth,3,4,2,7,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-26 18:30:00,1226248,F. Willenborg,158,745,Fortuna Düsseldorf,1. FC Kaiserslautern,3,4,2,7,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-27 12:30:00,1226253,T. Stieler,179,166,1. FC Magdeburg,Hannover 96,0,3,2,3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-27 12:30:00,1226247,S. Storks,181,1652,SV Darmstadt 98,SSV Ulm 1846,1,1,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-27 12:30:00,1226254,P. Schwengers,744,1313,Eintracht Braunschweig,Preußen Münster,1,1,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-01 17:30:00,1226262,M. Bacher,1313,158,Preußen Münster,Fortuna Düsseldorf,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-01 17:30:00,1226261,F. Prigan,1652,174,SSV Ulm 1846,FC Schalke 04,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-02 12:00:00,1226263,E. Weisbach,177,1660,SSV Jahn Regensburg,SV Elversberg,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-02 12:00:00,1226258,M. Burda,178,181,SpVgg Greuther Fürth,SV Darmstadt 98,1,5,2,6,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-02 12:00:00,1226256,R. Hempel,166,785,Hannover 96,Karlsruher SC,2,1,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-02 19:30:00,1226259,H. Osmers,159,192,Hertha BSC,1. FC Köln,0,1,2,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-03 12:30:00,1226255,T. Bauer,175,171,Hamburger SV,1. FC Nürnberg,1,1,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-03 12:30:00,1226257,W. Haslberger,185,744,SC Paderborn 07,Eintracht Braunschweig,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-03 12:30:00,1226260,F. Badstübner,745,179,1. FC Kaiserslautern,1. FC Magdeburg,2,2,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-08 17:30:00,1226270,M. Jöllenbeck,171,745,1. FC Nürnberg,1. FC Kaiserslautern,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-08 17:30:00,1226272,D. Siebert,744,175,Eintracht Braunschweig,Hamburger SV,3,1,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-09 12:00:00,1226264,D. Schlager,192,178,1. FC Köln,SpVgg Greuther Fürth,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-09 12:00:00,1226265,P. Alt,181,159,SV Darmstadt 98,Hertha BSC,3,1,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-09 12:00:00,1226271,L. Erbst,179,1652,1. FC Magdeburg,SSV Ulm 1846,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-09 19:30:00,1226266,F. Exner,158,185,Fortuna Düsseldorf,SC Paderborn 07,1,1,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-10 12:30:00,1226268,P. Schwengers,174,177,FC Schalke 04,SSV Jahn Regensburg,2,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-10 12:30:00,1226267,R. Kampka,785,1313,Karlsruher SC,Preußen Münster,1,1,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-10 12:30:00,1226269,F. Lechner,1660,166,SV Elversberg,Hannover 96,3,1,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-22 17:30:00,1226276,S. Jablonski,185,171,SC Paderborn 07,1. FC Nürnberg,3,2,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-22 17:30:00,1226280,F. Prigan,1313,192,Preußen Münster,1. FC Köln,0,1,2,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-23 12:00:00,1226278,E. Weisbach,159,1652,Hertha BSC,SSV Ulm 1846,2,2,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-23 12:00:00,1226275,M. Bacher,166,181,Hannover 96,SV Darmstadt 98,1,2,2,3,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-23 12:00:00,1226273,T. Bauer,158,1660,Fortuna Düsseldorf,SV Elversberg,0,2,2,2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-23 12:00:00,1226277,L. Benen,178,785,SpVgg Greuther Fürth,Karlsruher SC,2,3,2,5,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-23 19:30:00,1226274,W. Haslberger,175,174,Hamburger SV,FC Schalke 04,2,2,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-24 12:30:00,1226281,F. Heft,177,179,SSV Jahn Regensburg,1. FC Magdeburg,0,1,2,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-24 12:30:00,1226279,M. Burda,745,744,1. FC Kaiserslautern,Eintracht Braunschweig,3,2,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-29 17:30:00,1226285,R. Braun,174,745,FC Schalke 04,1. FC Kaiserslautern,0,3,2,3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-29 17:30:00,1226288,R. Hempel,179,159,1. FC Magdeburg,Hertha BSC,1,3,2,4,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-30 12:00:00,1226282,S. Storks,192,166,1. FC Köln,Hannover 96,2,2,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-30 12:00:00,1226289,P. Alt,744,177,Eintracht Braunschweig,SSV Jahn Regensburg,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-30 12:00:00,1226286,N. Winter,1660,185,SV Elversberg,SC Paderborn 07,1,3,2,4,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-30 19:30:00,1226283,T. Welz,181,1313,SV Darmstadt 98,Preußen Münster,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-01 12:30:00,1226290,P. Schwengers,1652,178,SSV Ulm 1846,SpVgg Greuther Fürth,1,1,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-01 12:30:00,1226287,L. Erbst,171,158,1. FC Nürnberg,Fortuna Düsseldorf,2,2,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-01 12:30:00,1226284,S. Stegemann,785,175,Karlsruher SC,Hamburger SV,1,3,2,4,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 17:30:00,1226294,R. Kampka,185,174,SC Paderborn 07,FC Schalke 04,2,4,2,6,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
